cell_id,cell_type,cx,cy,auxin,corners
0,roottip,63.5,11.750000000000028,571.318,"[[71, 0.0], [54, 2.0], [58, 23.0], [71, 22.0]]"
1,roottip,78.5,11.750000000000028,571.318,"[[88, 2.0], [71, 0.0], [71, 22.0], [84, 23.0]]"
2,roottip,49.75,18.75000000000003,564.485,"[[54, 2.0], [40, 19.0], [47, 31.0], [58, 23.0]]"
3,roottip,92.25,18.75000000000003,564.485,"[[102, 19.0], [88, 2.0], [84, 23.0], [95, 31.0]]"
4,roottip,38.25,35.000000000000014,515.296,"[[47, 31.0], [40, 19.0], [30, 42.0], [36, 48.0]]"
5,roottip,103.75,35.000000000000014,515.296,"[[102, 19.0], [95, 31.0], [106, 48.0], [112, 42.0]]"
6,roottip,65.25,30.25,733.269,"[[71, 22.0], [58, 23.0], [61, 38.0], [71, 38.0]]"
7,roottip,76.75,30.25,733.269,"[[84, 23.0], [71, 22.0], [71, 38.0], [81, 38.0]]"
8,roottip,54.25,33.500000000000014,738.176,"[[58, 23.0], [47, 31.0], [51, 42.0], [61, 38.0]]"
9,roottip,87.75,33.500000000000014,738.176,"[[95, 31.0], [84, 23.0], [81, 38.0], [91, 42.0]]"
10,roottip,43.5,43.000000000000014,650.651,"[[51, 42.0], [47, 31.0], [36, 48.0], [40, 51.0]]"
11,roottip,98.5,43.000000000000014,650.651,"[[95, 31.0], [91, 42.0], [102, 51.0], [106, 48.0]]"
12,roottip,57.75,45.000000000000014,808.009,"[[61, 38.0], [51, 42.0], [55, 51.0], [64, 49.0]]"
13,roottip,66.75,43.5,883.419,"[[71, 38.0], [61, 38.0], [64, 49.0], [71, 49.0]]"
14,roottip,75.25,43.5,883.419,"[[81, 38.0], [71, 38.0], [71, 49.0], [78, 49.0]]"
15,roottip,84.25,45.000000000000014,808.009,"[[91, 42.0], [81, 38.0], [78, 49.0], [87, 51.0]]"
16,roottip,30.5,53.0,557.033,"[[36, 48.0], [30, 42.0], [25, 60.0], [31, 62.0]]"
17,roottip,47.25,49.500000000000014,731.284,"[[55, 51.0], [51, 42.0], [40, 51.0], [43, 54.0]]"
18,roottip,94.75,49.500000000000014,731.284,"[[91, 42.0], [87, 51.0], [99, 54.0], [102, 51.0]]"
19,roottip,111.5,53.0,557.033,"[[112, 42.0], [106, 48.0], [111, 62.0], [117, 60.0]]"
20,roottip,37.0,57.99999999999997,559.744,"[[45, 58.0], [36, 48.0], [31, 62.0], [36, 64.0]]"
21,roottip,60.25,52.49999999999997,1038.42,"[[64, 49.0], [55, 51.0], [57, 55.0], [65, 55.0]]"
22,roottip,67.75,51.99999999999997,1191.88,"[[71, 49.0], [64, 49.0], [65, 55.0], [71, 55.0]]"
23,roottip,74.25,51.99999999999997,1191.88,"[[78, 49.0], [71, 49.0], [71, 55.0], [77, 55.0]]"
24,roottip,81.75,52.49999999999997,1038.42,"[[87, 51.0], [78, 49.0], [77, 55.0], [85, 55.0]]"
25,roottip,105.0,57.99999999999997,559.744,"[[106, 48.0], [97, 58.0], [106, 64.0], [111, 62.0]]"
26,roottip,50.0,54.49999999999997,736.737,"[[55, 51.0], [43, 54.0], [45, 58.0], [57, 55.0]]"
27,roottip,92.0,54.49999999999997,736.737,"[[99, 54.0], [87, 51.0], [85, 55.0], [97, 58.0]]"
28,roottip,53.25,59.24999999999994,581.706,"[[57, 55.0], [45, 58.0], [51, 63.0], [60, 61.0]]"
29,roottip,62.0,57.99999999999994,937.475,"[[65, 55.0], [57, 55.0], [60, 61.0], [66, 61.0]]"
30,roottip,68.25,57.99999999999994,1149.5,"[[71, 55.0], [65, 55.0], [66, 61.0], [71, 61.0]]"
31,roottip,73.75,57.99999999999994,1149.5,"[[77, 55.0], [71, 55.0], [71, 61.0], [76, 61.0]]"
32,roottip,80.0,57.99999999999994,937.475,"[[85, 55.0], [77, 55.0], [76, 61.0], [82, 61.0]]"
33,roottip,88.75,59.24999999999994,581.706,"[[97, 58.0], [85, 55.0], [82, 61.0], [91, 63.0]]"
34,roottip,43.5,63.24999999999997,506.0,"[[51, 63.0], [45, 58.0], [36, 64.0], [42, 68.0]]"
35,roottip,98.5,63.24999999999997,506.0,"[[97, 58.0], [91, 63.0], [100, 68.0], [106, 64.0]]"
36,roottip,27.0,67.5,453.674,"[[36, 64.0], [25, 60.0], [21, 73.0], [26, 73.0]]"
37,roottip,115.0,67.5,453.674,"[[117, 60.0], [106, 64.0], [116, 73.0], [121, 73.0]]"
38,roottip,56.75,63.49999999999996,725.841,"[[60, 61.0], [51, 63.0], [55, 66.0], [61, 64.0]]"
39,roottip,64.25,64.5,845.288,"[[66, 61.0], [60, 61.0], [64, 68.0], [67, 68.0]]"
40,roottip,68.75,64.5,985.673,"[[71, 61.0], [66, 61.0], [67, 68.0], [71, 68.0]]"
41,roottip,73.25,64.5,985.673,"[[76, 61.0], [71, 61.0], [71, 68.0], [75, 68.0]]"
42,roottip,77.75,64.5,845.288,"[[82, 61.0], [76, 61.0], [75, 68.0], [78, 68.0]]"
43,roottip,85.25,63.49999999999996,725.841,"[[91, 63.0], [82, 61.0], [81, 64.0], [87, 66.0]]"
44,roottip,49.0,67.00000000000001,487.359,"[[55, 66.0], [51, 63.0], [42, 68.0], [48, 71.0]]"
45,roottip,93.0,67.00000000000001,487.359,"[[91, 63.0], [87, 66.0], [94, 71.0], [100, 68.0]]"
46,roottip,59.25,66.75,707.616,"[[61, 64.0], [55, 66.0], [57, 69.0], [64, 68.0]]"
47,roottip,82.75,66.75,707.616,"[[87, 66.0], [81, 64.0], [78, 68.0], [85, 69.0]]"
48,roottip,35.0,69.50000000000003,399.788,"[[42, 68.0], [36, 64.0], [26, 73.0], [36, 73.0]]"
49,roottip,107.0,69.50000000000003,399.788,"[[106, 64.0], [100, 68.0], [106, 73.0], [116, 73.0]]"
50,roottip,53.25,70.25000000000003,499.264,"[[57, 69.0], [55, 66.0], [47, 73.0], [54, 73.0]]"
51,roottip,88.75,70.25000000000003,499.264,"[[87, 66.0], [85, 69.0], [88, 73.0], [95, 73.0]]"
52,roottip,43.25,71.25000000000006,470.364,"[[48, 71.0], [42, 68.0], [36, 73.0], [47, 73.0]]"
53,roottip,58.5,70.75000000000004,560.897,"[[64, 68.0], [57, 69.0], [54, 73.0], [59, 73.0]]"
54,roottip,64.25,70.50000000000006,651.861,"[[67, 68.0], [64, 68.0], [59, 73.0], [67, 73.0]]"
