tick,cell_id,cx,cy,y_min,y_max,auxin
0,64,56.5,75.5,74.0,78.0,400.0
0,71,85.5,75.5,74.0,78.0,400.0
0,79,56.5,80.5,78.0,83.0,400.0
0,86,85.5,80.5,78.0,83.0,400.0
0,94,56.5,85.5,83.0,88.0,400.0
0,101,85.5,85.5,83.0,88.0,400.0
0,109,56.5,90.5,88.0,93.0,230.0
0,116,85.5,90.5,88.0,93.0,230.0
0,124,56.5,95.5,93.0,98.0,60.0
0,131,85.5,95.5,93.0,98.0,60.0
0,140,56.5,100.5,98.0,103.0,60.0
0,147,85.5,100.5,98.0,103.0,60.0
0,155,56.5,105.5,103.0,108.0,60.0
0,162,85.5,105.5,103.0,108.0,60.0
0,170,56.5,110.5,108.0,113.0,60.0
0,177,85.5,110.5,108.0,113.0,60.0
0,185,56.5,115.5,113.0,118.0,60.0
0,192,85.5,115.5,113.0,118.0,60.0
0,199,56.5,120.5,118.0,123.0,60.0
0,206,85.5,120.5,118.0,123.0,60.0
0,214,56.5,125.5,123.0,128.0,60.0
0,221,85.5,125.5,123.0,128.0,60.0
0,229,56.5,130.5,128.0,133.0,60.0
0,236,85.5,130.5,128.0,133.0,60.0
0,243,56.5,135.5,133.0,138.0,60.0
0,250,85.5,135.5,133.0,138.0,60.0
0,257,56.5,140.5,138.0,143.0,60.0
0,264,85.5,140.5,138.0,143.0,60.0
0,271,56.5,145.5,143.0,148.0,60.0
0,278,85.5,145.5,143.0,148.0,60.0
0,285,56.5,150.5,148.0,153.0,60.0
0,292,85.5,150.5,148.0,153.0,60.0
0,300,56.5,155.5,153.0,158.0,60.0
0,307,85.5,155.5,153.0,158.0,60.0
0,315,56.5,160.5,158.0,163.0,60.0
0,322,85.5,160.5,158.0,163.0,60.0
0,329,56.5,165.5,163.0,168.0,60.0
0,336,85.5,165.5,163.0,168.0,60.0
0,343,56.5,170.5,168.0,173.0,60.0
0,350,85.5,170.5,168.0,173.0,60.0
0,357,56.5,175.5,173.0,178.0,60.0
0,364,85.5,175.5,173.0,178.0,60.0
0,371,56.5,180.5,178.0,183.0,60.0
0,378,85.5,180.5,178.0,183.0,60.0
0,385,56.5,185.5,183.0,188.0,60.0
0,392,85.5,185.5,183.0,188.0,60.0
0,399,56.5,190.5,188.0,193.0,60.0
0,406,85.5,190.5,188.0,193.0,60.0
0,413,56.5,195.5,193.0,198.0,60.0
0,420,85.5,195.5,193.0,198.0,60.0
0,427,56.5,200.5,198.0,203.0,60.0
0,434,85.5,200.5,198.0,203.0,60.0
0,441,56.5,205.5,203.0,208.0,60.0
0,448,85.5,205.5,203.0,208.0,60.0
0,455,56.5,210.5,208.0,213.0,60.0
0,462,85.5,210.5,208.0,213.0,60.0
0,469,56.5,215.5,213.0,218.0,60.0
0,476,85.5,215.5,213.0,218.0,60.0
0,483,56.5,220.5,218.0,223.0,60.0
0,490,85.5,220.5,218.0,223.0,60.0
0,497,56.5,225.5,223.0,228.0,60.0
0,504,85.5,225.5,223.0,228.0,60.0
0,511,56.5,230.5,228.0,233.0,60.0
0,518,85.5,230.5,228.0,233.0,60.0
0,525,56.5,235.5,233.0,238.0,60.0
0,532,85.5,235.5,233.0,238.0,60.0
0,539,56.5,240.5,238.0,243.0,40.0
0,546,85.5,240.5,238.0,243.0,40.0
0,553,56.5,245.5,243.0,248.0,20.0
0,560,85.5,245.5,243.0,248.0,20.0
0,567,56.5,250.5,248.0,253.0,20.0
0,574,85.5,250.5,248.0,253.0,20.0
0,581,56.5,255.5,253.0,258.0,20.0
0,588,85.5,255.5,253.0,258.0,20.0
0,595,56.5,260.5,258.0,263.0,20.0
0,602,85.5,260.5,258.0,263.0,20.0
0,609,56.5,265.5,263.0,268.0,20.0
0,616,85.5,265.5,263.0,268.0,20.0
0,623,56.5,270.5,268.0,273.0,20.0
0,630,85.5,270.5,268.0,273.0,20.0
0,637,56.5,279.5,273.0,286.0,20.0
0,644,85.5,279.5,273.0,286.0,20.0
0,651,56.5,293.0,286.0,300.0,20.0
0,658,85.5,293.0,286.0,300.0,20.0
0,665,56.5,308.0,300.0,316.0,20.0
0,672,85.5,308.0,300.0,316.0,20.0
0,679,56.5,325.5,316.0,335.0,20.0
0,686,85.5,325.5,316.0,335.0,20.0
0,693,56.5,346.5,335.0,358.0,20.0
0,700,85.5,346.5,335.0,358.0,20.0
0,707,56.5,372.0,358.0,386.0,20.0
0,714,85.5,372.0,358.0,386.0,20.0
0,721,56.5,403.0,386.0,420.0,20.0
0,728,85.5,403.0,386.0,420.0,20.0
0,735,56.5,440.5,420.0,461.0,20.0
0,742,85.5,440.5,420.0,461.0,20.0
0,749,56.5,488.5,461.0,516.0,10.97
0,756,85.5,488.5,461.0,516.0,10.97
0,763,56.5,543.5,516.0,571.0,0.5
0,770,85.5,543.5,516.0,571.0,0.5
0,777,56.5,598.5,571.0,626.0,0.5
0,784,85.5,598.5,571.0,626.0,0.5
0,791,56.5,653.5,626.0,681.0,0.5
0,798,85.5,653.5,626.0,681.0,0.5
0,805,56.5,708.5,681.0,736.0,0.5
0,812,85.5,708.5,681.0,736.0,0.5
0,819,56.5,952.0,736.0,1168.0,0.5
0,826,85.5,952.0,736.0,1168.0,0.5
1,64,56.5,75.50994444444444,74.0,78.01988888888889,398.586
1,71,85.5,75.50994444444444,74.0,78.01988888888889,398.586
1,79,56.5,80.52983333333333,78.01988888888889,83.03977777777777,398.347
1,86,85.5,80.52983333333333,78.01988888888889,83.03977777777777,398.347
1,94,56.5,85.54972222222221,83.03977777777777,88.05966666666667,398.189
1,101,85.5,85.54972222222221,83.03977777777777,88.05966666666667,398.189
1,109,56.5,90.56961111111112,88.05966666666667,93.07955555555556,229.096
1,116,85.5,90.56961111111112,88.05966666666667,93.07955555555556,229.096
1,124,56.5,95.5895,93.07955555555556,98.09944444444444,60.309
1,131,85.5,95.5895,93.07955555555556,98.09944444444444,60.309
1,140,56.5,100.60938888888889,98.09944444444444,103.11933333333333,60.223
1,147,85.5,100.60938888888889,98.09944444444444,103.11933333333333,60.223
1,155,56.5,105.62927777777779,103.11933333333333,108.13922222222223,60.2382
1,162,85.5,105.62927777777779,103.11933333333333,108.13922222222223,60.2382
1,170,56.5,110.64916666666667,108.13922222222223,113.15911111111112,60.223
1,177,85.5,110.64916666666667,108.13922222222223,113.15911111111112,60.223
1,185,56.5,115.66905555555556,113.15911111111112,118.179,60.2382
1,192,85.5,115.66905555555556,113.15911111111112,118.179,60.2382
1,199,56.5,120.68894444444445,118.179,123.19888888888889,60.223
1,206,85.5,120.68894444444445,118.179,123.19888888888889,60.223
1,214,56.5,125.70883333333333,123.19888888888889,128.21877777777777,60.2382
1,221,85.5,125.70883333333333,123.19888888888889,128.21877777777777,60.2382
1,229,56.5,130.72872222222222,128.21877777777777,133.23866666666666,60.223
1,236,85.5,130.72872222222222,128.21877777777777,133.23866666666666,60.223
1,243,56.5,135.7486111111111,133.23866666666666,138.25855555555555,60.2382
1,250,85.5,135.7486111111111,133.23866666666666,138.25855555555555,60.2382
1,257,56.5,140.7685,138.25855555555555,143.27844444444443,60.223
1,264,85.5,140.7685,138.25855555555555,143.27844444444443,60.223
1,271,56.5,145.7883888888889,143.27844444444443,148.29833333333335,60.2382
1,278,85.5,145.7883888888889,143.27844444444443,148.29833333333335,60.2382
1,285,56.5,150.8082777777778,148.29833333333335,153.31822222222223,60.223
1,292,85.5,150.8082777777778,148.29833333333335,153.31822222222223,60.223
1,300,56.5,155.82816666666668,153.31822222222223,158.33811111111112,60.2382
1,307,85.5,155.82816666666668,153.31822222222223,158.33811111111112,60.2382
1,315,56.5,160.84805555555556,158.33811111111112,163.358,60.2382
1,322,85.5,160.84805555555556,158.33811111111112,163.358,60.2382
1,329,56.5,165.86794444444445,163.358,168.3778888888889,60.2382
1,336,85.5,165.86794444444445,163.358,168.3778888888889,60.2382
1,343,56.5,170.88783333333333,168.3778888888889,173.39777777777778,60.2382
1,350,85.5,170.88783333333333,168.3778888888889,173.39777777777778,60.2382
1,357,56.5,175.90772222222222,173.39777777777778,178.41766666666666,60.2382
