chrom_idx,ks_aux,kd_aux,ks_arr,kd_arr,k1,k5,k6,tau,oscillation_score,legacy_fft_peak,mean_aux_t0,mean_aux_tf,c693_aux_t0,c693_aux_tf,plot,label
1,0.10974987654930562,0.16372745814388645,0.23644894126454083,0.43287612810830595,5.347786360722666,0.023203197888695095,0.02,8.0,0.18399606453437525,85.49503200000001,17.885,1.187431,20.0,0.955494,evaluation/e4_chrom_1_auxin.png,osc_search_03_best
2,1.0,0.15811388300841897,0.1,0.1,14.142135623730951,0.1414213562373095,0.1414213562373095,20.0,0.057422848337534915,504.09302,17.885,7.001291944444445,20.0,6.774,evaluation/e4_chrom_2_auxin.png,plan_fallback_midpoints
3,0.3548518840433861,0.18053211829137072,0.024282908375004738,0.1064814125424208,25.435207581143125,0.03364072169339296,0.05842287964097305,9.0,0.0976129128256432,165.72178,17.885,2.301691388888889,20.0,2.153,evaluation/e4_chrom_3_auxin.png,random_1
4,0.9659239651161776,0.3141195937569042,0.018006222360144066,0.055479890099621385,37.99818132499073,0.16494348993927838,0.08368711036084531,14.0,0.011811901163036837,224.80641999999997,17.885,3.122311388888889,20.0,3.12197,evaluation/e4_chrom_4_auxin.png,random_2
5,6.809377134995378,0.11800669204884542,0.17505299399343469,0.017397928773506828,111.79407229537881,0.44287863235457686,0.03095388557854573,18.0,0.01996746887176644,4528.695000000001,17.885,62.89854166666666,20.0,65.7445,evaluation/e4_chrom_5_auxin.png,random_3
6,0.17718270597810104,0.2579207325334098,0.01939012578240119,0.4411564176970448,137.42196010746653,0.9256251969009508,0.7064267971150744,16.0,0.05024563996646802,59.64516999999999,17.885,0.8284051388888889,20.0,0.866225,evaluation/e4_chrom_6_auxin.png,random_4
7,0.15090542358441092,0.26390539854531786,0.08455127995718946,0.07207412366303953,22.354747418985934,0.07591093332567372,0.6846237762418463,11.0,0.07825501380536162,45.04642199999999,17.885,0.62564475,20.0,0.613605,evaluation/e4_chrom_7_auxin.png,random_5
8,5.607787800819997,0.32716839065158404,0.01017155269664956,0.023260761954099072,37.915037102218605,0.02917550580519348,0.1104612603457789,15.0,0.002215592899753594,1244.2071999999998,17.885,17.280655555555555,20.0,17.335,evaluation/e4_chrom_8_auxin.png,random_6
9,0.2524190743726506,0.4631462550912673,0.017303825791183332,0.1707093617363584,3.630974410646216,0.051125238260712094,0.02775289037647956,17.0,0.0064656767340669,39.348338,17.885,0.5465046944444444,20.0,0.546399,evaluation/e4_chrom_9_auxin.png,random_7
10,1.4029024187998336,0.48102092438048377,0.02107340943261565,0.02335402797650051,1.527308170907055,0.3695222557357032,0.5017899301813439,36.0,0.006376487712844193,216.0956,17.885,3.0013277777777776,20.0,3.03224,evaluation/e4_chrom_10_auxin.png,random_8
