tick,mean,std,min,max
0,17.885,13.441310757650124,0.5,60.0
1,17.57515640909091,13.196729615563802,0.503111,58.9181
2,17.270899272727274,12.956610102317502,0.506166,57.856
3,16.972110636363638,12.720869862448053,0.509166,56.8133
4,16.678708863636363,12.489426211517616,0.512112,55.7896
5,16.39058518181818,12.262198806659514,0.515005,54.7846
6,16.107661227272725,12.039116352849875,0.517846,53.798
7,15.829826272727272,11.820099654540297,0.520636,52.8294
8,15.55700559090909,11.605075379924394,0.523376,51.8785
9,15.289015272727273,11.393496082089914,0.526067,50.94
10,15.025866454545453,11.185794367912509,0.52871,50.0188
11,14.767443909090908,10.981883332564072,0.531305,49.1145
12,14.513681454545456,10.78169850188212,0.533853,48.2268
13,15.712604173913045,12.418791948199082,0.536356,47.5713
14,15.44201439130435,12.193749289424781,0.538814,46.731
15,15.17628091304348,11.972783663210562,0.541228,45.9057
16,14.915327478260869,11.755827057387483,0.543598,45.0952
17,14.659078608695653,11.542805525038322,0.545926,44.2992
18,14.407432695652174,11.333644558720241,0.548212,43.5174
19,14.16032256521739,11.128281832384824,0.550457,42.7496
20,13.917659217391304,10.926649055696629,0.552661,41.9956
21,13.679367652173912,10.728677483964892,0.554826,41.2551
22,13.445363260869566,10.534293159540896,0.556952,40.5278
23,13.215618347826087,10.3434296812424,0.55904,39.8135
24,12.990066130434784,10.156314571237363,0.56109,39.112
25,12.768409347826086,9.972158709235437,0.563103,38.4193
26,12.550746434782608,9.791339666043049,0.56508,37.7391
27,12.336997608695652,9.613816978259997,0.567022,37.0712
28,12.12709204347826,9.439511153059822,0.568929,36.4153
29,12.915489625,10.270345164550612,0.570802,35.7895
30,12.695291541666668,10.084711710359677,0.572641,35.1604
31,12.479059999999999,9.902435399180765,0.574447,34.5425
32,12.266726708333332,9.723459285062166,0.57622,33.9357
33,12.058202708333333,9.547722834633632,0.577961,33.3398
34,11.8534785,9.375149262659132,0.579671,32.7545
35,11.652394708333333,9.205712665678671,0.581351,32.1797
36,11.454978833333334,9.03933385947263,0.583,31.6152
37,11.261071541666666,8.875961693759033,0.58462,31.0608
38,11.070725791666668,8.715631072441186,0.58621,30.5163
39,10.883686333333335,8.557938636760024,0.587772,29.9816
40,10.700126583333335,8.40337622640273,0.589306,29.4565
41,10.519751208333334,8.251340200953141,0.590812,28.938
42,10.342618291666666,8.10204804639705,0.592291,28.4288
43,10.168675833333333,7.9554703168309855,0.593744,27.9288
44,9.997862333333334,7.811544194929878,0.595171,27.4378
45,9.830123208333333,7.670225931180454,0.596572,26.9557
46,10.33858348,8.093567408087475,0.597948,26.495
47,10.16478632,7.947431957528466,0.599299,26.0323
48,9.99415012,7.803926996028756,0.600626,25.5779
49,9.82655572,7.663032673503782,0.601929,25.1317
50,9.662005279999999,7.52467144583089,0.603209,24.6935
51,9.50041404,7.388812562431063,0.604466,24.2631
52,9.34166488,7.255349966706378,0.6057,23.8404
53,9.18585916,7.124476508568098,0.606912,23.4253
54,9.03285248,6.995962135635334,0.608102,23.0176
55,8.88251176,6.869591533079795,0.609271,22.6172
56,8.73495948,6.745680033527471,0.610419,22.224
57,8.59005932,6.624003555764862,0.611546,21.8378
58,8.44768456,6.504358978284921,0.612653,21.4565
59,8.30787608,6.386885460579241,0.61374,21.0821
60,8.170578319999999,6.271527034234904,0.614807,20.7144
61,8.03574424,6.158243403888611,0.615855,20.3533
62,7.90336184,6.046997631727494,0.616884,19.9987
63,8.230515,6.261170516299729,0.617895,19.6599
64,8.094657346153847,6.148238719129081,0.618888,19.3197
65,7.96129,6.037384033958396,0.619863,18.9856
66,7.830316038461538,5.928522381634307,0.62082,18.6574
67,7.701627538461539,5.821502567447683,0.62176,18.3351
68,7.575256076923077,5.716417604346307,0.622683,18.0186
69,7.451223615384615,5.613355160152803,0.62359,17.7078
70,7.329421423076923,5.512152122224709,0.62448,17.4025
71,7.209746461538462,5.412660234580154,0.625354,17.1027
72,7.092223,5.3149623269945625,0.626213,16.8083
73,6.976875653846154,5.219145780814108,0.627056,16.5192
74,6.8635980384615385,5.125054672640538,0.627884,16.2352
75,6.752296346153846,5.032550309044815,0.628697,15.9548
76,6.643014423076924,4.94170033603576,0.629495,15.6794
77,6.535703192307692,4.852499202446185,0.630279,15.409
78,6.430284153846154,4.764882636096452,0.631049,15.1435
79,6.326761615384616,4.678848120525378,0.631805,14.8828
80,6.225155269230769,4.594465624073684,0.632548,14.6268
81,6.431235962962963,4.69730589657646,0.633277,14.3836
82,6.3277236666666665,4.6125737765362675,0.633993,14.1379
83,6.226076703703704,4.529380769961886,0.634696,13.8966
84,6.126251407407407,4.447678453983308,0.635387,13.6596
85,6.028272703703704,4.367539507660646,0.636065,13.4269
86,5.932051333333334,4.288839420968405,0.636731,13.1983
87,6.0375650769230775,4.163115036401316,0.638601,12.9738
88,5.941134307692308,4.088011599050577,0.639251,12.7534
89,5.846434,4.014257059125597,0.639889,12.5369
90,5.753482653846154,3.9419135339993048,0.640515,12.3243
91,5.662235692307693,3.870895544750111,0.64113,12.1155
92,5.572630846153847,3.801164190990003,0.641734,11.9104
93,5.484547769230769,3.732543494032931,0.642327,11.7079
94,5.398047346153846,3.665156221551262,0.64291,11.509
95,5.3131013846153845,3.5989880187419145,0.643482,11.3137
96,5.229722307692308,3.534078850155507,0.644044,11.1219
97,5.147845923076924,3.4703489047416833,0.644596,10.9336
98,5.0674410384615385,3.4077677114977054,0.645138,10.7487
99,4.988441538461538,3.3462476435252984,0.64567,10.5671
100,5.114002111111112,3.3885811874677465,0.646193,10.3957
101,5.034182777777778,3.3274608848815266,0.646706,10.2215
102,4.955839814814815,3.2675073568078172,0.64721,10.0504
103,4.878902925925926,3.2086316652234066,0.647705,9.88234
104,4.803348407407407,3.1508170609138437,0.648191,9.71729
105,4.729115592592593,3.093989084280525,0.648669,9.5552
106,4.656255222222222,3.0382423553839746,0.649138,9.39601
107,4.584703222222222,2.9834995860453386,0.649599,9.23968
108,4.514468851851852,2.92979469642169,0.650051,9.08614
109,4.445465148148148,2.877007374967609,0.650495,8.93536
110,4.377701,2.825171185590853,0.650931,8.78727
111,4.311155,2.7742680200232726,0.65136,8.64184
112,4.245804111111111,2.7242828133367065,0.651781,8.49821
113,4.181627296296297,2.675198236092771,0.652194,8.35717
114,4.1186023333333335,2.6269974566725276,0.6526,8.21866
115,4.056711518518519,2.5796669633372327,0.652999,8.08266
116,3.995903296296296,2.5331432152861035,0.65339,7.94911
117,3.936188851851852,2.4874580822060497,0.653774,7.81796
118,3.877547888888889,2.4425972512245266,0.654152,7.68917
119,3.953827857142857,2.456921531692133,0.654523,7.56751
120,3.8949064285714283,2.4126806964621124,0.654887,7.44394
121,3.837044821428571,2.3692366580642874,0.655245,7.32259
122,3.780249428571429,2.3266149491500756,0.655596,7.20341
123,3.724450285714286,2.2847249255330158,0.655941,7.08637
124,3.6696527857142853,2.2435878482413325,0.65628,6.97142
125,3.615817285714286,2.203157080786913,0.656613,6.85853
126,3.5629484285714286,2.163454289096035,0.65694,6.74766
127,3.511051964285714,2.124501138996189,0.657261,6.63878
128,3.4600882499999996,2.086249211523558,0.657576,6.53185
129,3.410061928571429,2.0487184076759246,0.657885,6.42684
130,3.3609334285714287,2.011862071702105,0.658189,6.32371
131,3.31266625,1.9756387537543876,0.658487,6.22184
132,3.265265142857143,1.9400667131897336,0.65878,6.1218
133,3.2186954642857146,1.9051043534179142,0.659068,6.02357
134,3.172962892857143,1.8707720383292294,0.659351,5.92711
135,3.128051357142857,1.8370581118418499,0.659628,5.83239
136,3.0839469999999998,1.8039526389111622,0.659901,5.73938
137,3.040655214285714,1.7714719397259409,0.660169,5.64804
138,2.9981627142857143,1.7396072262005449,0.660432,5.55835
