cell,corners,centroid,auxin,area,meristematic,pericycle,centroid_y,distance,tick
64,"[[54, 83], [54, 86], [57, 86], [57, 83]]","[55.5, 84.5]",400.0,9,True,True,84.5,9.5,0
94,"[[54, 93], [54, 96], [57, 96], [57, 93]]","[55.5, 94.5]",400.0,9,True,True,94.5,2.3333333333333286,0
140,"[[54, 108], [54, 111], [57, 111], [57, 108]]","[55.5, 109.5]",60.0,9,True,True,109.5,0.1666666666666572,0
185,"[[54, 123], [54, 126], [57, 126], [57, 123]]","[55.5, 124.5]",60.0,9,True,True,124.5,2.0,0
243,"[[54, 143], [54, 146], [57, 146], [57, 143]]","[55.5, 144.5]",60.0,9,True,True,144.5,0.8333333333333144,0
285,"[[54, 158], [54, 161], [57, 161], [57, 158]]","[55.5, 159.5]",60.0,9,True,True,159.5,1.3333333333333428,0
329,"[[54, 173], [54, 176], [57, 176], [57, 173]]","[55.5, 174.5]",60.0,9,True,True,174.5,3.5,0
64,"[[54, 83], [54, 86], [57, 86], [57, 83]]","[55.5, 84.5]",272.068,9,True,True,84.5,9.5,1
96,"[[54, 93], [54, 96], [57, 96], [57, 93]]","[55.5, 94.5]",182.699,9,True,True,94.5,2.3333333333333286,1
144,"[[54, 108], [54, 111], [57, 111], [57, 108]]","[55.5, 109.5]",142.154,9,True,True,109.5,0.1666666666666572,1
191,"[[54, 123], [54, 126], [57, 126], [57, 123]]","[55.5, 124.5]",137.767,9,True,True,124.5,2.0,1
253,"[[54, 143], [54, 146], [57, 146], [57, 143]]","[55.5, 144.5]",107.821,9,True,True,144.5,0.8333333333333144,1
299,"[[54, 158], [54, 161], [57, 161], [57, 158]]","[55.5, 159.5]",94.5226,9,True,True,159.5,1.3333333333333428,1
343,"[[54, 173], [54, 176], [57, 176], [57, 173]]","[55.5, 174.5]",81.0039,9,True,True,174.5,3.5,1
64,"[[54, 83], [54, 87], [57, 87], [57, 83]]","[55.5, 85.0]",269.65,12,True,True,85.0,10.0,2
80,"[[54, 89], [54, 93], [57, 93], [57, 89]]","[55.5, 91.0]",201.315,12,True,True,91.0,1.1666666666666714,2
128,"[[54, 107], [54, 111], [57, 111], [57, 107]]","[55.5, 109.0]",156.695,12,True,True,109.0,0.3333333333333428,2
176,"[[54, 125], [54, 129], [57, 129], [57, 125]]","[55.5, 127.0]",149.64,12,True,True,127.0,0.5,2
