cell,corners,centroid,auxin
60,"[[21, 83], [21, 88], [24, 88], [24, 83]]","[22.5, 85.5]",587.671
61,"[[26, 83], [26, 88], [34, 88], [34, 83]]","[30.0, 85.5]",138.248
62,"[[36, 83], [36, 88], [45, 88], [45, 83]]","[40.5, 85.5]",115.36
63,"[[47, 83], [47, 88], [52, 88], [52, 83]]","[49.5, 85.5]",72.0148
64,"[[54, 83], [54, 88], [57, 88], [57, 83]]","[55.5, 85.5]",283.503
65,"[[59, 83], [59, 88], [61, 88], [61, 83]]","[60.0, 85.5]",252.148
66,"[[63, 83], [63, 88], [65, 88], [65, 83]]","[64.0, 85.5]",198.303
67,"[[67, 83], [67, 88], [69, 88], [69, 83]]","[68.0, 85.5]",195.711
68,"[[71, 83], [71, 88], [73, 88], [73, 83]]","[72.0, 85.5]",195.711
69,"[[75, 83], [75, 88], [77, 88], [77, 83]]","[76.0, 85.5]",198.303
70,"[[79, 83], [79, 88], [81, 88], [81, 83]]","[80.0, 85.5]",252.148
71,"[[83, 83], [83, 88], [86, 88], [86, 83]]","[84.5, 85.5]",283.503
72,"[[88, 83], [88, 88], [93, 88], [93, 83]]","[90.5, 85.5]",72.0148
73,"[[95, 83], [95, 88], [104, 88], [104, 83]]","[99.5, 85.5]",115.36
74,"[[106, 83], [106, 88], [114, 88], [114, 83]]","[110.0, 85.5]",138.248
75,"[[116, 83], [116, 88], [119, 88], [119, 83]]","[117.5, 85.5]",587.671
76,"[[21, 90], [21, 95], [24, 95], [24, 90]]","[22.5, 92.5]",548.581
77,"[[26, 90], [26, 95], [34, 95], [34, 90]]","[30.0, 92.5]",142.698
78,"[[36, 90], [36, 95], [45, 95], [45, 90]]","[40.5, 92.5]",110.811
79,"[[47, 90], [47, 95], [52, 95], [52, 90]]","[49.5, 92.5]",51.8295
80,"[[54, 90], [54, 95], [57, 95], [57, 90]]","[55.5, 92.5]",215.195
81,"[[59, 90], [59, 95], [61, 95], [61, 90]]","[60.0, 92.5]",195.58
82,"[[63, 90], [63, 95], [65, 95], [65, 90]]","[64.0, 92.5]",156.328
83,"[[67, 90], [67, 95], [69, 95], [69, 90]]","[68.0, 92.5]",137.309
84,"[[71, 90], [71, 95], [73, 95], [73, 90]]","[72.0, 92.5]",137.309
85,"[[75, 90], [75, 95], [77, 95], [77, 90]]","[76.0, 92.5]",156.328
86,"[[79, 90], [79, 95], [81, 95], [81, 90]]","[80.0, 92.5]",195.58
87,"[[83, 90], [83, 95], [86, 95], [86, 90]]","[84.5, 92.5]",215.195
88,"[[88, 90], [88, 95], [93, 95], [93, 90]]","[90.5, 92.5]",51.8295
89,"[[95, 90], [95, 95], [104, 95], [104, 90]]","[99.5, 92.5]",110.811
90,"[[106, 90], [106, 95], [114, 95], [114, 90]]","[110.0, 92.5]",142.698
91,"[[116, 90], [116, 95], [119, 95], [119, 90]]","[117.5, 92.5]",548.581
92,"[[21, 97], [21, 102], [24, 102], [24, 97]]","[22.5, 99.5]",497.779
93,"[[26, 97], [26, 102], [34, 102], [34, 97]]","[30.0, 99.5]",154.442
94,"[[36, 97], [36, 102], [45, 102], [45, 97]]","[40.5, 99.5]",111.415
95,"[[47, 97], [47, 102], [52, 102], [52, 97]]","[49.5, 99.5]",50.9706
