al,pin,pina,pinb,pinl,pinm,auxin_w,y_dist_from_roottip,centroid
1,0.375,0.5,0.0,0.5,0.5,10,11.75,"(63.5, 22.75)"
1,0.375,0.5,0.0,0.5,0.5,10,11.75,"(78.5, 22.75)"
1,0.375,0.5,0.0,0.5,0.5,10,18.75,"(49.75, 29.75)"
1,0.375,0.5,0.0,0.5,0.5,10,18.75,"(92.25, 29.75)"
1,0.625,1.5,0.0,0.5,0.5,10,35.0,"(38.25, 46.0)"
1,0.625,1.5,0.0,0.5,0.5,10,35.0,"(103.75, 46.0)"
1,0.8125,0.75,1.0,0.75,0.75,15,30.25,"(65.25, 41.25)"
1,0.8125,0.75,1.0,0.75,0.75,15,30.25,"(76.75, 41.25)"
1,0.8125,0.75,1.0,0.75,0.75,15,33.5,"(54.25, 44.5)"
1,0.8125,0.75,1.0,0.75,0.75,15,33.5,"(87.75, 44.5)"
1,0.4,1.5,0.0,0.05,0.05,10,43.0,"(43.5, 54.0)"
1,0.4,1.5,0.0,0.05,0.05,10,43.0,"(98.5, 54.0)"
1,0.8125,0.75,1.0,0.75,0.75,15,45.0,"(57.75, 56.0)"
1,0.8125,0.75,1.0,0.75,0.75,15,43.5,"(66.75, 54.5)"
1,0.8125,0.75,1.0,0.75,0.75,15,43.5,"(75.25, 54.5)"
1,0.8125,0.75,1.0,0.75,0.75,15,45.0,"(84.25, 56.0)"
1,0.4,1.5,0.0,0.05,0.05,10,53.0,"(30.5, 64.0)"
1,0.4,1.5,0.0,0.05,0.05,10,49.5,"(47.25, 60.5)"
1,0.4,1.5,0.0,0.05,0.05,10,49.5,"(94.75, 60.5)"
1,0.4,1.5,0.0,0.05,0.05,10,53.0,"(111.5, 64.0)"
1,0.4,1.5,0.0,0.05,0.05,10,58.0,"(37.0, 69.0)"
1,0.8125,0.75,1.0,0.75,0.75,15,52.5,"(60.25, 63.5)"
1,0.8125,0.75,1.0,0.75,0.75,15,52.0,"(67.75, 63.0)"
1,0.8125,0.75,1.0,0.75,0.75,15,52.0,"(74.25, 63.0)"
1,0.8125,0.75,1.0,0.75,0.75,15,52.5,"(81.75, 63.5)"
1,0.4,1.5,0.0,0.05,0.05,10,58.0,"(105.0, 69.0)"
