x,y
54,813
71,811
71,833
58,834
88,813
84,834
47,842
40,830
102,830
95,842
30,853
36,859
112,853
106,859
61,849
71,849
81,849
51,853
91,853
40,862
102,862
55,862
64,860
71,860
78,860
87,862
25,871
31,873
43,865
99,865
111,873
117,871
45,869
36,875
57,866
65,866
71,866
77,866
85,866
97,869
106,875
51,874
60,872
66,872
71,872
76,872
82,872
91,874
42,879
100,879
21,884
26,884
116,884
121,884
55,877
61,875
64,879
67,879
71,879
75,879
78,879
81,875
87,877
48,882
94,882
57,880
85,880
36,884
106,884
47,884
54,884
88,884
95,884
59,884
67,884
71,884
75,884
83,884
26,889
36,889
47,889
54,889
59,889
63,889
67,889
71,889
75,889
79,889
83,889
88,889
95,889
106,889
116,889
21,894
26,894
36,894
47,894
54,894
59,894
63,894
67,894
71,894
75,894
79,894
83,894
88,894
95,894
106,894
116,894
121,894
63,884
79,884
